[22/07/2020-16:23:13] Data test initiated. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2)
[03/08/2020-16:45:28] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[03/08/2020-16:45:32] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[06/08/2020-11:54:18] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[06/08/2020-11:54:22] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[06/08/2020-11:54:24] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[06/08/2020-15:49:34] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[06/08/2020-15:49:41] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[06/08/2020-15:49:45] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[06/08/2020-15:50:33] Data test initiated. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2) 
[06/08/2020-15:50:40] Browser opened. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 1)  
[06/08/2020-15:50:40] Browser opened. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2)  
[06/08/2020-15:50:45] Data test successful. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2) 

[06/08/2020-15:50:46] Data test initiated. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2) 
[06/08/2020-15:50:53] Browser opened. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 1)  
[06/08/2020-15:50:53] Browser opened. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2)  
[06/08/2020-15:50:58] Data test successful. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2) 

[06/08/2020-15:50:58] Data test initiated. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2) 
[06/08/2020-15:51:06] Browser opened. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 1)  
[06/08/2020-15:51:06] Browser opened. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2)  
[06/08/2020-15:51:12] Data test successful. (PHONE: 0644503010, URL: http://www.stackoverflow.com, NB: 2) 

[10/08/2020-12:13:54] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[10/08/2020-12:13:54] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[10/08/2020-12:13:57] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[10/08/2020-12:16:15] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[10/08/2020-12:16:15] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[10/08/2020-12:16:18] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[10/08/2020-12:17:26] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[10/08/2020-12:17:26] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[10/08/2020-12:17:29] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[10/08/2020-14:21:48] Data test initiated. (PHONE: 0644503010, URL: 8.8.8.8, NB: 1) 
[10/08/2020-14:21:48] Browser opened. (PHONE: 0644503010, URL: 8.8.8.8, NB: 1)  
[10/08/2020-14:21:50] Data test successful. (PHONE: 0644503010, URL: 8.8.8.8, NB: 1) 

[10/08/2020-16:04:48] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[10/08/2020-16:04:48] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[10/08/2020-16:09:53] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[10/08/2020-16:09:53] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[10/08/2020-16:09:56] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

[10/08/2020-16:10:03] Data test initiated. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 
[10/08/2020-16:10:03] Browser opened. (PHONE: 0644503010, URL: http://www.google.com, NB: 1)  
[10/08/2020-16:10:06] Data test successful. (PHONE: 0644503010, URL: http://www.google.com, NB: 1) 

